Date,Open,High,Low,Close,Volume,Adj Close
2016-10-06,5.06,5.06,5.06,5.06,000,5.06
2016-10-05,5.06,5.06,5.06,5.06,000,5.06
2016-10-04,5.06,5.06,5.06,5.06,000,5.06
2016-10-03,5.06,5.06,5.06,5.06,000,5.06
2016-09-30,5.02,5.07,5.01,5.06,9385200,5.06
2016-09-29,5.04,5.06,5.02,5.03,10543700,5.03
2016-09-28,5.06,5.06,5.02,5.03,8226600,5.03
2016-09-27,5.00,5.06,4.99,5.06,13630200,5.06
2016-09-26,5.15,5.15,5.01,5.02,24896100,5.02
2016-09-23,5.24,5.24,5.15,5.16,21511200,5.16
2016-09-22,5.27,5.28,5.21,5.22,23178800,5.22
2016-09-21,5.24,5.30,5.20,5.24,31223600,5.24
2016-09-20,5.50,5.53,5.21,5.29,71677700,5.29
2016-09-19,5.72,5.72,5.72,5.72,000,5.72
2016-09-16,5.72,5.72,5.72,5.72,000,5.72
2016-09-15,5.72,5.72,5.72,5.72,000,5.72
2016-09-14,5.72,5.72,5.72,5.72,000,5.72
2016-09-13,5.72,5.72,5.72,5.72,000,5.72
2016-09-12,5.72,5.72,5.72,5.72,000,5.72
2016-09-09,5.72,5.72,5.72,5.72,000,5.72
2016-09-08,5.70,5.76,5.66,5.72,19395400,5.72
2016-09-07,5.61,5.91,5.57,5.76,47822200,5.76
2016-09-06,5.52,5.62,5.44,5.61,14154600,5.61
2016-09-05,5.52,5.54,5.48,5.50,9001500,5.50
2016-09-02,5.55,5.58,5.46,5.50,12641900,5.50
2016-09-01,5.66,5.66,5.54,5.55,12990800,5.55
2016-08-31,5.71,5.73,5.64,5.65,13399100,5.65
2016-08-30,5.65,5.75,5.65,5.69,25287400,5.69
2016-08-29,5.56,5.64,5.53,5.64,15337600,5.64
2016-08-26,5.55,5.60,5.50,5.55,10227100,5.55
2016-08-25,5.61,5.61,5.48,5.53,14324500,5.53
2016-08-24,5.63,5.68,5.59,5.62,11898300,5.62
2016-08-23,5.56,5.70,5.55,5.64,17344800,5.64
2016-08-22,5.55,5.72,5.54,5.58,21813500,5.58
2016-08-19,5.61,5.64,5.53,5.56,15166500,5.56
2016-08-18,5.61,5.67,5.59,5.64,18616200,5.64
2016-08-17,5.63,5.67,5.54,5.60,21443400,5.60
2016-08-16,5.59,5.78,5.54,5.67,31817900,5.67
2016-08-15,5.54,5.62,5.44,5.58,34617700,5.58
2016-08-12,5.44,5.63,5.41,5.54,23621300,5.54
2016-08-11,5.62,5.67,5.46,5.48,40373900,5.48
2016-08-10,5.80,5.97,5.72,5.73,79572900,5.73
2016-08-09,5.50,5.75,5.50,5.75,29814200,5.75
2016-08-08,5.18,5.25,5.14,5.23,8531300,5.23
2016-08-05,5.26,5.26,5.19,5.20,8825700,5.20
2016-08-04,5.23,5.25,5.18,5.25,7937200,5.25
2016-08-03,5.24,5.25,5.19,5.21,8208600,5.21
2016-08-02,5.22,5.24,5.17,5.23,6703000,5.23
2016-08-01,5.26,5.28,5.12,5.20,10320600,5.20
2016-07-29,5.35,5.35,5.26,5.27,8911900,5.27
2016-07-28,5.39,5.45,5.25,5.32,17922900,5.32
2016-07-27,5.77,5.82,5.30,5.40,25300200,5.40
2016-07-26,5.71,5.79,5.69,5.79,12062700,5.79
2016-07-25,5.69,5.73,5.66,5.68,10214300,5.68
2016-07-22,5.80,5.80,5.66,5.68,16160100,5.68
2016-07-21,5.79,5.84,5.75,5.78,14256500,5.78
2016-07-20,5.84,5.86,5.79,5.82,13825000,5.82
2016-07-19,5.80,5.87,5.74,5.84,17198900,5.84
2016-07-18,5.90,5.94,5.75,5.77,18373400,5.77
2016-07-15,6.00,6.03,5.87,5.90,17702800,5.90
2016-07-14,6.02,6.05,5.90,5.97,17317700,5.968
2016-07-13,5.99,6.06,5.91,6.03,25745400,6.02798
2016-07-12,5.88,6.02,5.82,5.96,26251800,5.958
2016-07-11,6.02,6.10,5.83,5.88,33929300,5.87803
2016-07-08,6.11,6.25,6.01,6.02,42215800,6.01798
2016-07-07,6.17,6.47,6.10,6.19,88944500,6.18793
2016-07-06,5.90,6.04,5.82,6.04,38257800,6.03798
2016-07-05,5.71,5.98,5.71,5.92,47650700,5.91802
2016-07-04,5.46,5.73,5.42,5.70,38802900,5.69809
2016-07-01,5.59,5.69,5.50,5.51,26023500,5.50815
2016-06-30,5.54,5.66,5.41,5.60,44709200,5.59812
2016-06-29,5.55,5.62,5.44,5.50,27201300,5.49816
2016-06-28,5.35,5.55,5.32,5.51,35572900,5.50815
2016-06-27,5.26,5.53,5.26,5.38,35720300,5.3782
2016-06-24,5.27,5.44,5.14,5.34,35170500,5.33821
2016-06-23,5.27,5.34,5.16,5.25,18114300,5.24824
2016-06-22,5.18,5.29,5.13,5.29,16886200,5.28823
2016-06-21,5.29,5.34,5.17,5.19,16031300,5.18826
2016-06-20,5.34,5.36,5.22,5.28,12380700,5.27823
2016-06-17,5.24,5.45,5.23,5.32,21144800,5.31822
2016-06-16,5.25,5.37,5.21,5.22,16931600,5.21825
2016-06-15,5.05,5.41,5.05,5.29,24610300,5.28823
2016-06-14,5.13,5.23,5.04,5.12,16755300,5.11828
2016-06-13,5.50,5.58,5.16,5.17,24453400,5.16827
2016-06-10,5.65,5.65,5.65,5.65,000,5.64811
2016-06-09,5.65,5.65,5.65,5.65,000,5.64811
2016-06-08,5.58,5.71,5.58,5.65,16762800,5.64811
2016-06-07,5.72,5.73,5.58,5.63,22720500,5.62811
2016-06-06,5.88,5.88,5.69,5.73,25601300,5.72808
2016-06-03,5.80,6.04,5.80,5.84,65394400,5.83804
2016-06-02,5.22,5.75,5.20,5.75,29435200,5.74807
2016-06-01,5.25,5.29,5.19,5.23,25839200,5.22825
2016-05-31,5.00,5.29,4.99,5.25,27735800,5.24824
2016-05-30,5.03,5.04,4.90,5.00,11474800,4.99832
2016-05-27,5.11,5.12,5.04,5.05,11352700,5.04831
2016-05-26,5.08,5.15,5.01,5.12,17062000,5.11828
2016-05-25,5.16,5.19,5.06,5.07,14898900,5.0683
2016-05-24,5.17,5.17,5.00,5.13,23948400,5.12828
2016-05-23,5.05,5.24,5.01,5.17,26750000,5.16827
2016-05-20,4.90,5.02,4.85,5.01,16135500,5.00832
2016-05-19,4.90,5.04,4.90,4.93,19491900,4.92835
2016-05-18,5.20,5.21,4.80,4.93,30917700,4.92835
2016-05-17,5.29,5.36,5.22,5.25,24254900,5.24824
2016-05-16,5.15,5.31,5.12,5.30,34234000,5.29822
2016-05-13,5.37,5.65,5.35,5.35,66074700,5.34821
2016-05-12,5.94,5.94,5.94,5.94,5381700,5.93801
2016-05-11,6.60,6.60,6.60,6.60,000,6.59779
2016-05-10,6.60,6.60,6.60,6.60,000,6.59779
2016-05-09,6.60,6.60,6.60,6.60,000,6.59779
2016-05-06,6.60,6.60,6.60,6.60,000,6.59779
2016-05-05,6.60,6.60,6.60,6.60,000,6.59779
2016-05-04,6.60,6.60,6.60,6.60,000,6.59779
2016-05-03,6.60,6.60,6.60,6.60,000,6.59779
2016-05-02,6.60,6.60,6.60,6.60,000,6.59779
2016-04-29,6.60,6.60,6.60,6.60,000,6.59779
2016-04-28,6.60,6.60,6.60,6.60,000,6.59779
2016-04-27,6.60,6.60,6.60,6.60,000,6.59779
2016-04-26,6.60,6.60,6.60,6.60,000,6.59779
2016-04-25,6.60,6.60,6.60,6.60,000,6.59779
2016-04-22,6.60,6.60,6.60,6.60,000,6.59779
2016-04-21,6.60,6.60,6.60,6.60,000,6.59779
2016-04-20,6.60,6.60,6.60,6.60,000,6.59779
2016-04-19,6.60,6.60,6.60,6.60,000,6.59779
2016-04-18,6.60,6.60,6.60,6.60,000,6.59779
2016-04-15,6.60,6.60,6.60,6.60,000,6.59779
2016-04-14,6.60,6.60,6.60,6.60,000,6.59779
2016-04-13,6.60,6.60,6.60,6.60,000,6.59779
2016-04-12,6.60,6.60,6.60,6.60,000,6.59779
2016-04-11,6.60,6.60,6.60,6.60,000,6.59779
