Date,Open,High,Low,Close,Volume,Adj Close
2016-10-06,26.47,26.47,26.47,26.47,000,26.47
2016-10-05,26.47,26.47,26.47,26.47,000,26.47
2016-10-04,26.47,26.47,26.47,26.47,000,26.47
2016-10-03,26.47,26.47,26.47,26.47,000,26.47
2016-09-30,26.29,26.53,26.10,26.47,922900,26.47
2016-09-29,26.50,26.60,26.20,26.28,1036600,26.28
2016-09-28,26.20,27.79,26.14,26.30,1533100,26.30
2016-09-27,25.85,26.53,25.80,26.53,1317200,26.53
2016-09-26,26.50,26.70,25.90,25.90,1230500,25.90
2016-09-23,27.24,27.24,26.41,26.65,904400,26.65
2016-09-22,27.11,27.43,26.91,27.03,799500,27.03
2016-09-21,26.62,27.28,26.45,26.88,961900,26.88
2016-09-20,26.73,26.89,26.44,26.60,780900,26.60
2016-09-19,26.12,26.89,26.12,26.73,1352900,26.73
2016-09-16,26.02,26.02,26.02,26.02,000,26.02
2016-09-15,26.02,26.02,26.02,26.02,000,26.02
2016-09-14,26.30,26.50,25.90,26.02,1139400,26.02
2016-09-13,26.66,26.74,26.28,26.36,1015900,26.36
2016-09-12,26.51,26.88,26.30,26.38,1389200,26.38
2016-09-09,27.52,27.61,27.00,27.02,1853200,27.02
2016-09-08,27.60,27.91,27.00,27.64,1566200,27.64
2016-09-07,27.80,28.14,27.48,27.50,1870300,27.50
2016-09-06,27.71,28.18,26.05,27.99,3272800,27.99
2016-09-05,28.21,28.46,27.64,27.64,2356000,27.64
2016-09-02,28.88,29.18,28.00,28.22,4563400,28.22
2016-09-01,28.40,30.19,28.29,29.65,7777300,29.65
2016-08-31,28.53,28.69,27.78,28.16,1579100,28.16
2016-08-30,28.23,29.11,28.10,28.40,2164000,28.40
2016-08-29,28.82,28.82,28.08,28.23,1535900,28.23
2016-08-26,28.95,29.28,28.55,28.82,1847000,28.82
2016-08-25,28.31,29.09,27.68,29.00,3178700,29.00
2016-08-24,28.50,28.79,28.00,28.24,2165300,28.24
2016-08-23,28.39,28.98,27.98,28.40,1715700,28.40
2016-08-22,29.60,29.60,28.15,28.33,2651100,28.33
2016-08-19,30.10,30.30,29.31,29.43,3605800,29.43
2016-08-18,28.55,30.20,28.41,30.20,5224900,30.20
2016-08-17,28.20,29.41,28.13,28.56,3279300,28.56
2016-08-16,27.40,29.59,27.07,28.25,4523300,28.25
2016-08-15,26.49,27.70,26.23,27.49,3011300,27.49
2016-08-12,26.00,26.55,25.64,26.50,1720300,26.50
2016-08-11,26.97,26.99,26.00,26.00,2545400,26.00
2016-08-10,27.35,27.50,27.01,27.10,1400600,27.10
2016-08-09,27.41,27.41,26.84,27.34,1596900,27.34
2016-08-08,26.12,27.45,25.77,27.30,2136300,27.30
2016-08-05,27.32,27.32,26.10,26.35,2214700,26.35
2016-08-04,27.14,27.79,26.85,27.32,2335300,27.32
2016-08-03,27.13,27.40,26.73,27.22,1981600,27.22
2016-08-02,26.33,27.49,25.91,27.08,3361600,27.08
2016-08-01,26.50,26.50,25.26,26.15,2785600,26.15
2016-07-29,27.01,27.20,26.01,26.22,2013400,26.22
2016-07-28,28.50,28.50,25.60,26.78,4574300,26.78
2016-07-27,30.00,30.48,27.51,28.00,3608700,28.00
2016-07-26,29.29,29.89,29.00,29.72,2442500,29.72
2016-07-25,30.22,30.22,28.90,29.00,2932300,29.00
2016-07-22,30.03,31.50,29.90,30.26,3452800,30.26
2016-07-21,31.07,32.10,30.09,30.12,3538000,30.12
2016-07-20,32.50,32.70,31.54,31.54,3375200,31.54
2016-07-19,31.00,32.79,30.68,32.62,4935200,32.62
2016-07-18,30.52,31.15,29.70,30.70,2519000,30.70
2016-07-15,31.20,32.89,30.60,30.60,6222500,30.60
2016-07-14,31.05,31.60,30.90,31.08,3122800,31.08
2016-07-13,31.98,32.49,30.51,31.44,4656800,31.44
2016-07-12,32.88,33.50,29.92,31.62,7015700,31.62
2016-07-11,32.33,35.18,31.66,32.61,10890700,32.61
2016-07-08,29.48,32.34,29.25,32.34,10799800,32.34
2016-07-07,30.10,30.27,28.60,29.40,8153800,29.40
2016-07-06,31.18,31.32,29.91,30.40,6577000,30.40
2016-07-05,29.58,32.19,29.58,30.53,11859800,30.53
2016-07-04,27.80,29.50,27.60,29.26,7837200,29.26
2016-07-01,26.91,29.54,26.91,28.27,9941200,28.27
2016-06-30,24.95,27.50,24.95,26.85,8449000,26.85
2016-06-29,25.31,25.56,24.83,25.00,2938300,25.00
2016-06-28,25.21,25.80,24.80,25.30,4137600,25.30
2016-06-27,23.82,25.78,23.82,25.51,6420700,25.51
2016-06-24,24.00,24.60,22.39,24.16,4115700,24.16
2016-06-23,24.23,24.50,23.53,24.06,5460400,24.06
2016-06-22,22.55,23.98,22.30,23.95,3609700,23.95
2016-06-21,23.50,23.70,22.30,22.40,2954700,22.40
2016-06-20,22.99,23.29,22.40,23.14,2714600,23.14
2016-06-17,22.31,23.77,22.30,22.79,3368600,22.79
2016-06-16,22.39,22.56,22.02,22.24,2670200,22.24
2016-06-15,21.19,22.87,20.60,22.53,3664700,22.53
2016-06-14,22.19,22.46,21.00,21.35,3216200,21.35
2016-06-13,24.16,24.37,22.19,22.19,3651900,22.19
2016-06-10,24.66,24.66,24.66,24.66,000,24.66
2016-06-09,24.66,24.66,24.66,24.66,000,24.66
2016-06-08,23.99,25.45,23.72,24.66,4202500,24.66
2016-06-07,23.44,24.25,23.22,24.08,2646600,24.08
2016-06-06,23.40,23.65,23.18,23.62,2114500,23.608
2016-06-03,23.35,23.67,23.13,23.46,1715000,23.44808
2016-06-02,23.05,23.50,23.02,23.45,2288300,23.43809
2016-06-01,22.64,23.68,22.64,23.52,3311900,23.50805
2016-05-31,21.60,22.68,21.30,22.64,3482900,22.6285
2016-05-30,21.37,21.88,20.91,21.54,1539900,21.52906
2016-05-27,21.46,21.68,21.20,21.47,1091100,21.45909
2016-05-26,21.00,21.50,20.60,21.47,1849600,21.45909
2016-05-25,21.80,22.30,21.20,21.20,1355800,21.18923
2016-05-24,21.50,21.69,21.18,21.60,1532100,21.58903
2016-05-23,21.65,21.89,21.31,21.70,1703500,21.68898
2016-05-20,20.70,21.50,20.40,21.30,1960000,21.28918
2016-05-19,20.70,21.35,20.46,20.98,1934700,20.96934
2016-05-18,21.45,21.45,20.43,20.70,1756000,20.68948
2016-05-17,21.50,21.76,21.16,21.53,1447900,21.51906
2016-05-16,20.99,21.51,20.71,21.45,2161300,21.4391
2016-05-13,21.34,21.78,20.80,20.98,1264200,20.96934
2016-05-12,21.30,21.44,20.11,21.43,1342100,21.41911
2016-05-11,21.77,21.85,21.25,21.43,1977600,21.41911
2016-05-10,21.79,21.97,21.21,21.43,921800,21.41911
2016-05-09,22.50,22.98,21.35,21.58,1736100,21.56904
2016-05-06,24.53,24.64,22.82,23.13,2340600,23.11825
2016-05-05,24.15,24.60,23.93,24.49,1837500,24.47756
2016-05-04,24.27,24.74,24.05,24.19,2358300,24.17771
2016-05-03,23.35,24.69,22.91,24.49,2863400,24.47756
2016-05-02,23.28,23.28,23.28,23.28,000,23.26817
2016-04-29,23.80,23.80,23.22,23.28,1746000,23.26817
2016-04-28,22.75,23.81,22.36,23.81,2762200,23.7979
2016-04-27,23.44,23.50,22.61,22.70,2446100,22.68847
2016-04-26,22.58,23.40,22.57,23.34,2191000,23.32814
2016-04-25,23.14,23.14,22.05,22.59,2391200,22.57852
2016-04-22,22.83,23.56,22.55,23.34,2197200,23.32814
2016-04-21,23.61,24.25,23.00,23.10,2868500,23.08826
2016-04-20,26.27,26.46,23.56,23.57,4494400,23.55802
2016-04-19,26.27,26.51,25.50,26.18,2194900,26.1667
2016-04-18,26.40,26.86,25.36,26.00,3248000,25.98679
2016-04-15,27.40,27.66,26.55,26.88,2880100,26.86634
2016-04-14,26.90,28.09,26.70,27.53,4533800,27.51601
