Date,Open,High,Low,Close,Volume,Adj Close
2016-10-06,9.53,9.53,9.53,9.53,000,9.53
2016-10-05,9.53,9.53,9.53,9.53,000,9.53
2016-10-04,9.53,9.53,9.53,9.53,000,9.53
2016-10-03,9.53,9.53,9.53,9.53,000,9.53
2016-09-30,9.53,9.53,9.53,9.53,000,9.53
2016-09-29,9.53,9.53,9.53,9.53,000,9.53
2016-09-28,9.53,9.53,9.53,9.53,000,9.53
2016-09-27,9.53,9.53,9.53,9.53,000,9.53
2016-09-26,9.53,9.53,9.53,9.53,000,9.53
2016-09-23,9.53,9.53,9.53,9.53,000,9.53
2016-09-22,9.52,9.60,9.45,9.53,7347500,9.53
2016-09-21,9.70,9.70,9.43,9.49,12404500,9.49
2016-09-20,9.90,10.00,9.57,9.71,22368800,9.71
2016-09-19,9.72,9.72,9.72,9.72,000,9.72
2016-09-16,9.72,9.72,9.72,9.72,000,9.72
2016-09-15,9.72,9.72,9.72,9.72,000,9.72
2016-09-14,9.58,9.77,9.50,9.72,5261600,9.72
2016-09-13,9.49,9.89,9.40,9.63,15395000,9.63
2016-09-12,9.38,9.54,9.24,9.49,14588800,9.49
2016-09-09,9.72,9.73,9.52,9.54,12043700,9.54
2016-09-08,9.51,9.75,9.45,9.68,16628200,9.68
2016-09-07,9.51,9.61,9.36,9.50,13484500,9.50
2016-09-06,9.40,9.51,9.19,9.50,13513400,9.50
2016-09-05,9.35,9.60,9.13,9.44,27423500,9.44
2016-09-02,9.77,9.85,9.42,9.42,19623400,9.42
2016-09-01,9.58,9.67,9.43,9.56,10401800,9.56
2016-08-31,9.61,9.69,9.46,9.59,6625500,9.59
2016-08-30,9.70,9.75,9.55,9.60,7382100,9.60
2016-08-29,9.94,9.94,9.58,9.77,15814200,9.77
2016-08-26,9.68,9.75,9.58,9.65,9480700,9.65
2016-08-25,9.52,9.74,9.37,9.68,9602500,9.68
2016-08-24,9.64,9.76,9.48,9.52,9220300,9.52
2016-08-23,9.62,9.80,9.54,9.58,8423000,9.58
2016-08-22,9.85,9.90,9.66,9.67,8816300,9.67
2016-08-19,9.72,10.06,9.49,9.85,21998100,9.85
2016-08-18,9.59,9.82,9.58,9.72,20160300,9.72
2016-08-17,9.40,9.75,9.39,9.67,19973700,9.67
2016-08-16,9.12,9.55,9.09,9.50,23703600,9.50
2016-08-15,8.86,9.19,8.86,9.12,13570900,9.12
2016-08-12,8.80,8.95,8.78,8.88,7564800,8.88
2016-08-11,9.03,9.11,8.84,8.84,9829200,8.84
2016-08-10,9.18,9.23,9.00,9.03,8743100,9.03
2016-08-09,9.13,9.18,9.05,9.17,9030700,9.17
2016-08-08,9.13,9.22,8.95,9.13,9558300,9.13
2016-08-05,8.86,9.33,8.81,9.11,18304600,9.11
2016-08-04,8.86,8.89,8.73,8.86,5482500,8.86
2016-08-03,8.88,8.99,8.81,8.85,6410500,8.85
2016-08-02,8.83,9.06,8.71,8.95,9070300,8.95
2016-08-01,8.69,8.97,8.68,8.90,11809600,8.90
2016-07-29,8.62,8.93,8.62,8.86,9831700,8.86
2016-07-28,8.82,8.91,8.49,8.72,16324600,8.72
2016-07-27,8.99,9.27,8.49,8.85,25308500,8.85
2016-07-26,8.90,9.11,8.90,9.05,9858700,9.05
2016-07-25,9.08,9.17,8.90,9.01,13280300,9.01
2016-07-22,8.95,9.25,8.95,9.07,23879700,9.07
2016-07-21,9.06,9.10,8.80,8.95,14394800,8.95
2016-07-20,8.85,9.23,8.83,8.95,24799600,8.95
2016-07-19,8.61,9.09,8.60,8.95,40295700,8.95
2016-07-18,8.14,8.89,8.07,8.80,43960000,8.80
2016-07-15,8.17,8.19,8.07,8.08,7315100,8.08
2016-07-14,8.17,8.21,8.13,8.18,7573100,8.18
2016-07-13,8.13,8.18,8.10,8.17,9599900,8.17
2016-07-12,8.12,8.12,7.91,8.09,11368500,8.09
2016-07-11,8.11,8.21,8.07,8.08,10083900,8.08
2016-07-08,8.18,8.20,8.07,8.15,6825600,8.15
2016-07-07,8.18,8.30,8.11,8.17,10285600,8.17
2016-07-06,8.04,8.44,7.92,8.23,19322500,8.23
2016-07-05,8.12,8.12,7.98,8.06,11246800,8.06
2016-07-04,7.83,8.16,7.74,8.12,22948700,8.12
2016-07-01,7.87,7.91,7.81,7.85,6736000,7.85
2016-06-30,7.92,8.04,7.87,7.89,9916000,7.89
2016-06-29,8.02,8.11,7.90,7.91,11769700,7.91
2016-06-28,7.80,7.89,7.76,7.86,7402900,7.86
2016-06-27,7.59,7.88,7.59,7.84,10083900,7.84
2016-06-24,7.77,7.86,7.51,7.70,10590300,7.70
2016-06-23,7.81,7.92,7.74,7.82,6761700,7.82
2016-06-22,7.79,7.84,7.70,7.84,6282100,7.84
2016-06-21,7.76,7.98,7.70,7.82,13161100,7.82
2016-06-20,7.85,7.90,7.65,7.73,7917900,7.73
2016-06-17,7.82,7.98,7.75,7.81,10878100,7.81
2016-06-16,8.01,8.04,7.79,7.82,13128300,7.82
2016-06-15,7.70,8.08,7.58,7.97,11599600,7.97
2016-06-14,7.76,7.85,7.65,7.76,6881200,7.76
2016-06-13,8.03,8.08,7.77,7.79,10949500,7.79
2016-06-10,8.19,8.19,8.19,8.19,000,8.19
2016-06-09,8.19,8.19,8.19,8.19,000,8.19
2016-06-08,8.28,8.33,8.08,8.19,13816200,8.19
2016-06-07,8.47,8.47,8.23,8.32,7425300,8.32
2016-06-06,8.42,8.53,8.29,8.39,13411500,8.39
2016-06-03,8.19,8.56,8.06,8.42,22279500,8.42
2016-06-02,8.00,8.10,7.97,8.05,9987400,8.05
2016-06-01,8.03,8.14,7.94,8.02,12344600,8.02
2016-05-31,7.63,8.06,7.63,8.03,23468900,8.03
