Date,Open,High,Low,Close,Volume,Adj Close
2016-10-06,20.48,20.48,20.48,20.48,000,20.48
2016-10-05,20.48,20.48,20.48,20.48,000,20.48
2016-10-04,20.48,20.48,20.48,20.48,000,20.48
2016-10-03,20.48,20.48,20.48,20.48,000,20.48
2016-09-30,20.38,20.54,20.37,20.48,985000,20.48
2016-09-29,20.32,20.55,20.32,20.37,934000,20.37
2016-09-28,20.25,20.54,20.25,20.35,1080200,20.35
2016-09-27,20.10,20.65,20.08,20.42,1624600,20.42
2016-09-26,20.83,20.94,20.15,20.18,2514600,20.18
2016-09-23,21.23,21.30,20.89,20.91,1828400,20.91
2016-09-22,21.34,21.38,21.17,21.18,1426700,21.18
2016-09-21,21.17,21.38,21.12,21.25,1886300,21.25
2016-09-20,21.22,21.28,20.71,21.23,2433100,21.23
2016-09-19,21.11,21.35,21.01,21.22,1695800,21.22
2016-09-16,21.09,21.09,21.09,21.09,000,21.09
2016-09-15,21.09,21.09,21.09,21.09,000,21.09
2016-09-14,20.94,21.21,20.90,21.09,1537900,21.09
2016-09-13,21.14,21.38,20.95,21.08,1746100,21.08
2016-09-12,21.22,21.50,21.01,21.18,3092100,21.18
2016-09-09,21.89,22.26,21.73,21.78,3419700,21.78
2016-09-08,21.72,21.86,21.60,21.79,2238200,21.79
2016-09-07,22.20,22.20,21.67,21.69,3421700,21.69
2016-09-06,21.46,22.00,21.27,21.99,4899100,21.99
2016-09-05,21.39,21.60,21.30,21.40,1844900,21.40
2016-09-02,21.47,21.60,21.10,21.30,2195600,21.30
2016-09-01,21.54,21.85,21.42,21.51,2555400,21.51
2016-08-31,21.56,21.68,21.36,21.54,1909400,21.54
2016-08-30,21.77,21.89,21.42,21.60,2808500,21.60
2016-08-29,21.45,21.84,21.41,21.75,4281400,21.75
2016-08-26,21.20,21.55,21.05,21.33,2926600,21.33
2016-08-25,21.12,21.17,20.84,21.04,1811800,21.04
2016-08-24,21.12,21.38,21.03,21.26,1703600,21.26
2016-08-23,21.02,21.19,20.92,21.11,2195900,21.11
2016-08-22,21.45,21.53,20.97,21.01,2730900,21.01
2016-08-19,21.58,21.65,21.48,21.51,1982700,21.51
2016-08-18,21.80,21.89,21.54,21.59,2789300,21.59
2016-08-17,21.70,21.90,21.52,21.90,3641000,21.90
2016-08-16,21.62,21.89,21.51,21.65,3607500,21.65
2016-08-15,21.30,21.80,20.85,21.68,4030600,21.68
2016-08-12,21.20,21.43,21.02,21.28,2164100,21.28
2016-08-11,21.30,21.56,21.20,21.23,2209700,21.23
2016-08-10,21.63,21.75,21.32,21.33,2490700,21.33
2016-08-09,21.27,21.63,21.23,21.60,2557100,21.60
2016-08-08,21.07,21.27,20.71,21.26,1473000,21.26
2016-08-05,21.15,21.43,21.00,21.07,2067400,21.07
2016-08-04,21.11,21.32,20.93,21.30,2268600,21.30
2016-08-03,21.24,21.36,21.08,21.18,1689300,21.18
2016-08-02,20.90,21.25,20.90,21.24,1486500,21.24
2016-08-01,21.42,21.42,20.70,21.01,2511800,21.01
2016-07-29,21.38,21.57,21.12,21.42,2054100,21.42
2016-07-28,21.69,21.78,20.88,21.31,4668300,21.31
2016-07-27,23.40,23.41,21.30,21.60,7999100,21.60
2016-07-26,23.02,23.59,22.82,23.32,3954700,23.32
2016-07-25,22.90,23.18,22.76,22.97,3533700,22.97
2016-07-22,23.66,23.74,22.90,23.02,5772600,23.02
2016-07-21,23.60,23.75,23.20,23.66,6173100,23.66
2016-07-20,23.41,23.85,23.17,23.59,7442500,23.59
2016-07-19,22.20,24.29,22.14,23.68,15559600,23.68
2016-07-18,21.97,22.74,21.93,22.35,7228500,22.35
2016-07-15,22.25,22.48,21.82,21.97,5102300,21.97
2016-07-14,21.76,22.18,21.76,22.08,5315000,22.08
2016-07-13,21.64,22.05,21.60,21.88,6013200,21.88
2016-07-12,22.40,22.70,21.05,21.71,9577700,21.71
2016-07-11,22.15,22.15,22.15,22.15,000,22.15
2016-07-08,22.15,22.15,22.15,22.15,000,22.15
2016-07-07,22.15,22.15,22.15,22.15,000,22.15
2016-07-06,22.15,22.15,22.15,22.15,000,22.15
2016-07-05,22.15,22.15,22.15,22.15,000,22.15
2016-07-04,22.15,22.15,22.15,22.15,000,22.15
2016-07-01,22.59,22.59,22.00,22.15,6869700,22.15
2016-06-30,22.27,22.76,22.10,22.63,8694200,22.63
2016-06-29,22.47,22.68,21.98,22.29,8074200,22.29
2016-06-28,22.15,22.76,21.81,22.51,9535200,22.51
2016-06-27,22.10,22.72,21.60,22.60,10965100,22.60
2016-06-24,23.39,23.39,21.32,22.24,19642000,22.24
2016-06-23,21.70,23.32,21.70,23.32,16065200,23.32
2016-06-22,20.01,21.20,19.66,21.20,6859000,21.20
2016-06-21,20.84,21.19,19.99,20.13,4759900,20.13
2016-06-20,20.50,20.89,20.33,20.65,3012400,20.65
2016-06-17,20.82,21.12,20.28,20.39,6030300,20.39
2016-06-16,20.99,21.42,20.68,20.77,3316300,20.77
2016-06-15,19.66,21.09,19.66,20.99,4998700,20.99
2016-06-14,19.80,20.17,19.56,20.00,3646800,20.00
2016-06-13,21.40,21.58,19.85,19.89,5895200,19.89
2016-06-10,21.35,21.35,21.35,21.35,000,21.35
2016-06-09,21.35,21.35,21.35,21.35,000,21.35
2016-06-08,21.68,21.91,20.90,21.35,5424300,21.35
2016-06-07,21.14,21.98,21.14,21.75,5499100,21.75
2016-06-06,21.00,21.45,21.00,21.22,4256500,21.22
2016-06-03,21.05,21.95,21.05,21.23,7445000,21.23
2016-06-02,20.20,21.60,20.20,21.16,9107000,21.16
2016-06-01,20.05,20.85,19.86,20.60,10422200,20.60
2016-05-31,18.34,19.35,18.32,19.33,5665600,19.33
2016-05-30,18.58,18.68,18.27,18.37,2546400,18.37
2016-05-27,18.50,18.99,18.49,18.76,4190800,18.76
2016-05-26,18.60,18.79,18.05,18.50,5586100,18.50
2016-05-25,18.10,19.31,18.04,18.77,10840900,18.77
2016-05-24,17.81,17.83,17.44,17.55,2282400,17.55
2016-05-23,17.73,18.15,17.73,17.89,2889700,17.89
2016-05-20,17.31,17.80,17.22,17.71,3517300,17.71
2016-05-19,17.55,17.94,17.26,17.62,3422800,17.62
2016-05-18,18.53,18.68,17.20,17.51,4793400,17.51
2016-05-17,19.28,19.28,18.50,18.85,3304700,18.85
2016-05-16,18.98,19.30,18.81,19.13,2482900,19.13
2016-05-13,18.59,19.18,18.53,18.96,2035900,18.96
2016-05-12,18.79,18.79,18.21,18.60,1811200,18.60
2016-05-11,18.88,19.06,18.68,18.81,2622100,18.81
2016-05-10,19.25,19.45,18.60,18.74,2768800,18.74
2016-05-09,20.51,20.51,18.92,18.93,4859500,18.93
2016-05-06,21.31,21.65,20.60,20.61,4868700,20.61
2016-05-05,21.41,21.60,21.22,21.49,2631800,21.49
2016-05-04,21.83,22.30,21.56,21.59,4380000,21.59
2016-05-03,21.10,21.98,21.01,21.63,4771500,21.63
2016-05-02,21.37,21.37,21.37,21.37,000,21.37
2016-04-29,21.60,21.89,21.20,21.37,2696700,21.37
2016-04-28,21.69,21.87,21.02,21.83,4813800,21.83
2016-04-27,22.15,22.55,21.61,21.69,5608100,21.69
2016-04-26,21.12,22.36,21.12,22.28,6157600,22.28
2016-04-25,21.21,21.70,20.50,21.35,3847900,21.35
2016-04-22,21.40,22.30,21.02,21.45,6052100,21.45
2016-04-21,20.75,22.60,20.61,21.97,9557200,21.97
2016-04-20,21.80,22.21,19.97,21.32,8672700,21.32
2016-04-19,20.85,22.66,20.60,21.80,10835600,21.80
2016-04-18,20.15,20.97,19.62,20.86,5978300,20.86
2016-04-15,20.25,20.79,20.15,20.30,4448600,20.30
2016-04-14,21.02,21.30,20.4533,20.6133,6013500,13.6089
2016-04-13,20.2533,21.06,20.1133,20.6933,8291600,13.6617
2016-04-12,30.80,30.99,29.79,30.22,5865700,19.9512
2016-04-11,29.80,30.8599,29.80,30.8599,6584900,20.3737
2016-04-08,29.20,29.44,28.60,29.0899,4540500,19.2051
2016-04-07,30.4999,30.4999,29.55,29.56,4725900,19.5155
2016-04-06,30.3799,30.4699,29.95,30.2501,5442900,19.971
2016-04-05,30.4999,30.85,29.61,30.56,7588800,20.1756
2016-04-04,30.03,30.03,30.03,30.03,000,19.8258
2016-04-01,29.1199,30.34,28.5199,30.03,6255100,19.8258
2016-03-31,28.65,29.6501,28.65,29.30,6158300,19.3438
2016-03-30,27.6401,28.59,27.6401,28.58,3974800,18.8684
2016-03-29,28.05,28.16,26.96,27.4001,3882300,18.0895
2016-03-28,28.31,28.8799,27.8899,28.0001,3953400,18.4856
2016-03-25,28.18,28.4899,27.6101,28.16,3799400,18.5912
2016-03-24,28.21,29.20,28.0001,28.18,6271500,18.6044
2016-03-23,28.0001,28.58,27.75,28.50,4934500,18.8157
2016-03-22,27.60,28.74,27.53,28.09,6080400,18.545
2016-03-21,27.75,28.26,27.56,27.93,6210700,18.4393
2016-03-18,26.8699,27.90,26.85,27.55,6782200,18.1885
2016-03-17,25.96,26.96,25.89,26.83,4918900,17.7132
2016-03-16,26.33,26.55,25.70,25.81,2786700,17.0398
2016-03-15,26.13,26.18,25.70,25.8701,2807400,17.0794
2016-03-14,25.80,26.55,25.60,26.13,5089100,17.251
2016-03-11,24.67,25.05,24.51,24.94,1571500,16.4654
2016-03-10,25.0001,25.2401,24.60,24.67,1836700,16.2871
2016-03-09,25.1299,25.46,24.70,24.93,2334800,16.4587
2016-03-08,25.0001,25.67,24.00,25.58,3850900,16.8878
2016-03-07,24.70,25.7299,24.70,25.2499,2998100,16.67
2016-03-04,25.9999,25.9999,24.20,24.75,3879000,16.3399
2016-03-03,26.20,26.66,25.80,25.8799,4233100,17.0859
2016-03-02,25.40,26.31,25.0999,26.25,4265300,17.3302
2016-03-01,24.39,25.46,24.1099,25.26,3801400,16.6766
2016-02-29,25.60,25.9999,23.42,24.17,4797100,15.957
2016-02-26,25.29,25.80,24.3499,25.26,3718000,16.6766
2016-02-25,27.6101,28.19,24.8599,24.92,5480500,16.4521
2016-02-24,27.99,28.20,27.00,27.6199,3102800,18.2346
2016-02-23,28.6399,28.68,27.58,28.08,4416300,18.5384
2016-02-22,28.70,28.8701,28.30,28.68,3044000,18.9345
2016-02-19,28.3699,28.4899,27.9799,28.38,2971500,18.7364
2016-02-18,27.84,29.08,27.71,28.56,6944800,18.8553
2016-02-17,27.42,27.7699,26.83,27.6401,3379900,18.2479
2016-02-16,26.5999,27.58,26.55,27.3799,3301900,18.0762
2016-02-15,25.8499,26.79,25.6099,26.30,2324100,17.3632
2016-02-12,26.68,26.68,26.68,26.68,000,17.6141
2016-02-11,26.68,26.68,26.68,26.68,000,17.6141
2016-02-10,26.68,26.68,26.68,26.68,000,17.6141
2016-02-09,26.68,26.68,26.68,26.68,000,17.6141
2016-02-08,26.68,26.68,26.68,26.68,000,17.6141
2016-02-05,27.1099,27.4901,26.61,26.68,2776600,17.6141
2016-02-04,25.65,28.0999,25.65,27.18,5487300,17.9442
2016-02-03,25.26,25.7501,24.8899,25.6301,3030700,16.9209
2016-02-02,25.0001,25.8701,24.9799,25.59,2931600,16.8945
2016-02-01,24.6101,25.53,24.6101,24.8801,2912300,16.4258
2016-01-29,23.9801,25.19,23.67,24.99,3534500,16.4984
2016-01-28,24.3499,24.75,23.55,23.6801,3278000,15.6335
2016-01-27,25.93,25.9901,23.3801,24.99,6138900,16.4984
2016-01-26,26.7701,28.38,25.50,25.7299,8705200,16.9869
2016-01-25,26.58,26.90,26.30,26.5001,2533000,17.4953
