Date,Open,High,Low,Close,Volume,Adj Close
2016-10-06,16.08,16.08,16.08,16.08,000,16.08
2016-10-05,16.08,16.08,16.08,16.08,000,16.08
2016-10-04,16.08,16.08,16.08,16.08,000,16.08
2016-10-03,16.08,16.08,16.08,16.08,000,16.08
2016-09-30,16.08,16.08,16.08,16.08,000,16.08
2016-09-29,16.08,16.08,16.08,16.08,000,16.08
2016-09-28,16.08,16.08,16.08,16.08,000,16.08
2016-09-27,16.08,16.08,16.08,16.08,000,16.08
2016-09-26,16.08,16.08,16.08,16.08,000,16.08
2016-09-23,16.08,16.08,16.08,16.08,000,16.08
2016-09-22,16.08,16.08,16.08,16.08,000,16.08
2016-09-21,16.08,16.08,16.08,16.08,000,16.08
2016-09-20,16.08,16.08,16.08,16.08,000,16.08
2016-09-19,16.08,16.08,16.08,16.08,000,16.08
2016-09-16,16.08,16.08,16.08,16.08,000,16.08
2016-09-15,16.08,16.08,16.08,16.08,000,16.08
2016-09-14,16.08,16.08,16.08,16.08,000,16.08
2016-09-13,16.08,16.08,16.08,16.08,000,16.08
2016-09-12,16.08,16.08,16.08,16.08,000,16.08
2016-09-09,16.08,16.08,16.08,16.08,000,16.08
2016-09-08,16.08,16.08,16.08,16.08,000,16.08
2016-09-07,16.08,16.08,16.08,16.08,000,16.08
2016-09-06,16.08,16.08,16.08,16.08,000,16.08
2016-09-05,16.08,16.08,16.08,16.08,000,16.08
2016-09-02,16.08,16.08,16.08,16.08,000,16.08
2016-09-01,16.08,16.08,16.08,16.08,000,16.08
2016-08-31,16.08,16.08,16.08,16.08,000,16.08
2016-08-30,16.08,16.08,16.08,16.08,000,16.08
2016-08-29,16.08,16.08,16.08,16.08,000,16.08
2016-08-26,16.08,16.08,16.08,16.08,000,16.08
2016-08-25,16.08,16.08,16.08,16.08,000,16.08
2016-08-24,16.08,16.08,16.08,16.08,000,16.08
2016-08-23,16.08,16.08,16.08,16.08,000,16.08
2016-08-22,16.08,16.08,16.08,16.08,000,16.08
2016-08-19,16.08,16.08,16.08,16.08,000,16.08
2016-08-18,16.08,16.08,16.08,16.08,000,16.08
2016-08-17,16.08,16.08,16.08,16.08,000,16.08
2016-08-16,16.08,16.08,16.08,16.08,000,16.08
2016-08-15,16.08,16.08,16.08,16.08,000,16.08
2016-08-12,16.08,16.08,16.08,16.08,000,16.08
2016-08-11,16.08,16.08,16.08,16.08,000,16.08
2016-08-10,16.08,16.08,16.08,16.08,000,16.08
2016-08-09,16.08,16.08,16.08,16.08,000,16.08
2016-08-08,16.08,16.08,16.08,16.08,000,16.08
2016-08-05,16.02,16.10,15.91,16.08,2188700,16.08
2016-08-04,15.98,16.15,15.85,16.03,2027800,16.03
2016-08-03,16.05,16.05,15.85,15.94,1287500,15.94
2016-08-02,15.90,16.14,15.81,16.06,1478600,16.06
2016-08-01,16.12,16.20,15.73,15.92,1993900,15.92
2016-07-29,16.40,16.48,16.00,16.26,2548000,16.26
2016-07-28,17.14,17.20,16.08,16.49,5283500,16.49
2016-07-27,17.58,18.11,16.68,17.14,9376900,17.14
2016-07-26,17.23,17.64,17.23,17.64,3056400,17.64
2016-07-25,17.22,17.43,17.13,17.23,1750700,17.23
2016-07-22,17.33,17.39,17.11,17.14,1821400,17.14
2016-07-21,17.36,17.58,17.23,17.33,2580900,17.33
2016-07-20,17.50,17.50,17.30,17.31,2097700,17.31
2016-07-19,17.28,17.45,17.10,17.45,1912100,17.45
2016-07-18,17.32,17.51,17.08,17.28,2392000,17.28
2016-07-15,17.71,17.85,17.45,17.46,3136300,17.46
2016-07-14,17.66,17.73,17.50,17.71,3261200,17.71
2016-07-13,17.38,17.76,17.37,17.65,4405300,17.65
2016-07-12,17.16,17.45,16.80,17.43,3938000,17.43
2016-07-11,17.46,17.64,17.11,17.11,3556800,17.11
2016-07-08,17.60,17.77,17.42,17.66,3255500,17.56
2016-07-07,17.74,17.80,17.33,17.69,3914000,17.58983
2016-07-06,17.82,17.82,17.51,17.78,4449700,17.67932
2016-07-05,18.16,18.16,17.82,17.96,4188000,17.8583
